[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 740: was 0x00000007fef14520
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored [Ljava.lang.OutOfMemoryError; archived mirror 0x00000007fef14520
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 171: was 0x00000007fef04990
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored java.lang.StackOverflowError archived mirror 0x00000007fef04990
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 156: was 0x00000007fef04288
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored java.lang.IllegalMonitorStateException archived mirror 0x00000007fef04288
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 71: was 0x00000007fef02160
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored java.lang.ref.Reference archived mirror 0x00000007fef02160
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 72: was 0x00000007fef021d8
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 1032: was 0x00000007fef1df58
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored [Ljava.lang.ref.Reference; archived mirror 0x00000007fef1df58
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 73: was 0x00000007fef021f0
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored java.lang.ref.SoftReference archived mirror 0x00000007fef021f0
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 1210: was 0x00000007fef22018
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][trace] Restored [Ljava.lang.ref.SoftReference; archived mirror 0x00000007fef22018
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][debug] Clearing root 74: was 0x00000007fef02268
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][trace] Restored java.lang.ref.WeakReference archived mirror 0x00000007fef02268
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][debug] Clearing root 1033: was 0x00000007fef1dfc8
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][trace] Restored [Ljava.lang.ref.WeakReference; archived mirror 0x00000007fef1dfc8
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][debug] Clearing root 75: was 0x00000007fef022d8
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][trace] Restored java.lang.ref.FinalReference archived mirror 0x00000007fef022d8
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][debug] Clearing root 76: was 0x00000007fef02348
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][debug] Clearing root 77: was 0x00000007fef02360
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][trace] Restored java.lang.ref.PhantomReference archived mirror 0x00000007fef02360
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][debug] Clearing root 78: was 0x00000007fef023d0
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][trace] Restored java.lang.ref.Finalizer archived mirror 0x00000007fef023d0
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][debug] Clearing root 480: was 0x00000007fef0d400
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][trace] Restored java.lang.Runnable archived mirror 0x00000007fef0d400
[2024-08-23T12:45:11.295+0530][1.935s][98688][9731][debug] Clearing root 843: was 0x00000007fef16f88
[2024-08-23T12:45:11.295+0530][1.936s][98688][9731][trace] Restored [Ljava.lang.Runnable; archived mirror 0x00000007fef16f88
[2024-08-23T12:45:11.295+0530][1.936s][98688][9731][debug] Clearing root 31: was 0x00000007fef00f38
[2024-08-23T12:45:11.295+0530][1.936s][98688][9731][trace] Restored java.lang.Thread archived mirror 0x00000007fef00f38
[2024-08-23T12:45:11.295+0530][1.936s][98688][9731][debug] Clearing root 32: was 0x00000007fef00fc8
[2024-08-23T12:45:11.295+0530][1.936s][98688][9731][debug] Clearing root 242: was 0x00000007fef06928
[2024-08-23T12:45:11.295+0530][1.936s][98688][9731][trace] Restored [Ljava.lang.Thread; archived mirror 0x00000007fef06928
[2024-08-23T12:45:11.295+0530][1.936s][98688][9731][debug] Clearing root 486: was 0x00000007fef0d6a8
[2024-08-23T12:45:11.295+0530][1.936s][98688][9731][trace] Restored java.lang.Thread$UncaughtExceptionHandler archived mirror 0x00000007fef0d6a8
[2024-08-23T12:45:11.295+0530][1.936s][98688][9731][debug] Clearing root 745: was 0x00000007fef14750
